nombre|ubicacion|ubicacion_detalle|ubicacion_referencia|distrito|region|fecha_inicio|fecha_inicio_alt|fecha_fin|descripcion|precio|organizador|asistiran|me_interesa|veces_compartido|imagen|enlace_evento
Todo Volcán Debe Morir|Oficina Bar|jr. carabaya 815, Lima 01 Lima||||Sábado, 14  de  diciembre  de  2019  - 20:00 ||Sábado, 14  de  diciembre  de  2019  - 2:00 | , Llegó la hora de decir adiós y hemos armado una última destrucción para todxs., Han sido 10 años de hacer canciones, tocar en vivo y hacer amigos en lugares jamás pensados. No queríamos irnos sin despedirnos de todxs aquellos que han hecho que esto haya sido posible, así que se viene una última y gran destrucción masiva., , Pronto vamos a anunciar las bandas que nos van a acompañar en está celebración final del rock., Por lo pronto les damos la fecha, la hora y el lugar y hemos soltado unas pre-ventas en , para que vayan asegurando su rock. , , Pre-ventas: , , Los queremos ver a todxs ahí y cantar juntos una última vez, , Lxs tqm mucho desde ya y para siempre., Saludos cordiales,, , Millones de Colores||Millones de Colores|643|720|37|https://scontent.flim1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c53.0.1556.872a/s320x320/75576437_2846868858670721_407258634481827840_o.jpg?_nc_cat=107&efg=eyJpIjoiYiJ9&_nc_ohc=tXmBQH9TZ8sAQlhcIGgjawJixPX5gvKXyPE9kYGmzhAZcNOjMYppH1Jxg&_nc_ht=scontent.flim1-2.fna&oh=9813eb36aa34f27614635a8b28f9aee5&oe=5E70D89D|https://mbasic.facebook.com/events/2540106696105528
Astral FEST - Edición Navidad|Lima|||||Viernes, 20  de  diciembre  de  2019  - 19:00 ||Viernes, 20  de  diciembre  de  2019  - 2:00 |||Paradero Astral|98|266|10|https://scontent.flim1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c144.0.563.315a/s320x320/78618950_459918864725600_6463296980087996416_n.jpg?_nc_cat=102&efg=eyJpIjoiYiJ9&_nc_ohc=pk70dQVyJ3MAQkS2H-glHm19rTJ3Bs70izZuWBT25PDTQj4h8gnVk62jw&_nc_ht=scontent.flim1-2.fna&oh=c0a28047eac42306c02f7ad7173f0124&oe=5E6A2932|https://mbasic.facebook.com/events/697727167300824
Grupo Rio & Afrodisiaco en concierto|Centro de Convenciones Bianca|Av. Miguel Grau N°135, Lima 04 Barranco, Lima, Peru||||Viernes, 20  de  diciembre  de  2019  - 21:30 ||Viernes, 20  de  diciembre  de  2019  - 2:00 |"• Conciertazo en C.C. Bianca Arena de Barranco , , CONCIERTO DE PURO ROCK CON GRUPO RIO & AFRODISIACO  , , Por primera vez se juntan 2 de las bandas más consagradas del rock nacional en un solo escenario, el grupo Rio y la banda Afrodisiaco, en C.C. Bianca de Barranco, será un concierto lleno de sorpresas para todos sus  fieles seguidores. , , El grupo Rio con ""Pocho"", ""Chachi"" y ""Cucho"";  vienen con un show extendido que nos harán recordar sus clásicos temas como “Lo Peor de todo”, “Televidente”, “Todo estaba bien”, “Mi Princesa”; además de sus nuevas canciones.,  , Y por su parte Afrodisiaco en la voz de Koky Bonilla, nos harán vibrar con ritmos alegres y melodías contagiantes como “Date la vuelta”, “Corazón Malherido” “Bésame”, y sus mejores éxitos para recordar buenos momentos noventeros., , Ven, comparte cómodamente y totalmente cerca de este especial concierto en más de 3 horas de show con lo mejor de la música nacional…!!!, , Todos los asistentes tienen ubicación y atención en mesa. Olvídate de esperar muchas horas parado para disfrutar de tus artistas favoritos en un concierto.  , , Fecha: viernes 20 de diciembre 2019 , Hora: 9: 30 p. m., Lugar: Av. Grau 135 - Barranco., , Entradas: , *VIP: S/ 79 soles. , *General: S/ 62 soles., *Mezanine: S/ 40 soles. , , *Precios no incluye comisión de ticketera, Entradas a la venta en Teleticket de Wong y Metro. , , Informes: 997 148 091., , , , , , "||Eventos Morrison|185|1.8 mil|80|https://scontent.flim1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c18.0.563.315a/s320x320/76726070_2441870099404230_6996250022920585216_n.jpg?_nc_cat=108&efg=eyJpIjoiYiJ9&_nc_ohc=O6nfXdqhk2MAQm5ar1XMqUgnQOaRi401W0NdLwiVw8YkoHPs66H7weaMg&_nc_ht=scontent.flim1-2.fna&oh=743303b070844d84def6998489963170&oe=5E7C0520|https://mbasic.facebook.com/events/782936122164924
The Get Down Party vol.6|Sargento Pimienta de Barranco|Av. Bolognesi 757, Lima 04 Barranco, Lima, Peru||||Viernes, 20  de  diciembre  de  2019  - 22:00 ||Viernes, 20  de  diciembre  de  2019  - 4:00 |¡Vuelve el tonazo con lo mejor del funk, hip hop, soul y r&b en una noche de black music en vivo!, , The Get Down Party vol.6, Viernes 20 de Diciembre, Sargento Pimienta Rock Bar, Av. Bolognesi 757 - Barranco, , , Con temas de:, Michael Jackson - James Brown - Will Smith -  Bruno Mars - Cardi B - Spice Girls - The Weeknd - Stevie Wonder - Santana - Lenny Kravitz - Bee Gees - Kool & The Gang - TLC - Justin Timberlake - Britney Spears - Illya Kuryaki and the Valderramas – Backstreet Boys - Pharrell y más..., , Interpretado por:, Jose Roberto Terry (batería y coros), Rodrigo Mariátegui (bajo), Diego Gonzales (guitarra y coros), Hazael Abraham (guitarra), Ángel Rafaeli (teclados), Mariana Quiroz (coros), Narda Pumarada (coros), Silvana del Campo (coros), José Miguel Vegas (voz), Shantall (voz), Jhovan Tomasevich (voz), Gisella Ponce de Leon (voz), Pablo Saldarriaga & Tito Iglesias (voces), , Dirección musical por TgthR, , , Entrada general: S/.35, Entrada + 1 cerveza: S/.45, No incluye comisión ticketera., , Preventa disponible en , ► , , Entradas sin recargo disponibles en la boletería del local., , Ingreso sólo para mayores de 18 años. Presentar DNI., , , Auspicia: , , Más info en ||Sargento Pimienta de Barranco|179|558|15|https://scontent.flim1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c66.0.1914.1072a/s320x320/77248335_2611336208901943_5857035073215266816_o.jpg?_nc_cat=109&efg=eyJpIjoiYiJ9&_nc_ohc=YcBWELvOVb4AQkn4NKwaACF1dgGQG3HtYXuv-CGa9GLGpxua041VTgGsQ&_nc_ht=scontent.flim1-2.fna&oh=7c8bb4f7e5a711be354adac2ea464028&oe=5E87C6C5|https://mbasic.facebook.com/events/443899929859285
Black Parade - Tributo My Chemical Romance|Balcón de Camaná|Jiron Camaná 969, Lima 01 Lima||||Jueves, 19  de  diciembre  de  2019  - 21:00 ||Jueves, 19  de  diciembre  de  2019  - 5:00 |||La Casona de Camaná|102|836|33|https://scontent.flim1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c25.0.679.380a/s320x320/76937232_1480088452141406_4803729863250804736_n.jpg?_nc_cat=104&efg=eyJpIjoiYiJ9&_nc_ohc=BwNPxV6Kv8cAQl90q3KIX9I5rJFGY_Wk7Ewsb-McZ4uKPk4iR1x-r7n8w&_nc_ht=scontent.flim1-1.fna&oh=8df37e313f6dc7967d2494c5db8360b6&oe=5E3DFBCD|https://mbasic.facebook.com/events/798276250634929
Libido en la Noche de Barranco|La Noche de Barranco - Lima|||||Viernes, 20 de diciembre de 2019  - 22:00 |||¡Se acaba el año y lo cerramos como se debe en la Noche de Barranco este viernes 20/12! ¡Será un concierto intenso para darle paso a un 2020 más intenso aún! ¡Te esperamos para celebrar juntos!, , Entradas a las venta en Joinnus: ||Libido|119|598|25|https://scontent.flim1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c0.11.319.179a/p200x200/78499142_10157962595394680_3954361537430290432_n.jpg?_nc_cat=109&efg=eyJpIjoiYiJ9&_nc_ohc=ArocQfeGSAQAQmHuHS4D2z4ej-9o_ETEJkJnrhF1Jco4NTi5Orz80CO3g&_nc_ht=scontent.flim1-2.fna&oh=ae30ab8daf56f55cd163903dd8490b7d&oe=5E3E5F48|https://mbasic.facebook.com/events/442196599799491
Rango Fest 2019: Plug Plug celebrando el 10° Aniv del Equinomoda|Centro de Convenciones Festiva|Av. Alfonso Ugarte 1439, 15001 Lima||||Viernes, 20  de  diciembre  de  2019  - 21:00 ||Viernes, 20  de  diciembre  de  2019  - 1:00 |||Rango Music|532|1.2 mil|36|https://scontent.flim1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c56.0.1810.1012a/s320x320/74707192_1175105006018344_6247653539808542720_o.jpg?_nc_cat=106&efg=eyJpIjoiYiJ9&_nc_ohc=3z6AGTIpUQgAQmEa7-r4LIH_Bv1MHNo9CBOjO0TWlTk65nM07eFJssHrg&_nc_ht=scontent.flim1-1.fna&oh=c46c7a4a1a2fd8e93debc2c1a5cd4ef1&oe=5E7B5EC1|https://mbasic.facebook.com/events/2830559643667242
Noche Patronal con De Jora Tonight|Balcón de Camaná|Jiron Camaná 969, Lima 01 Lima||||Viernes, 20  de  diciembre  de  2019  - 21:00 ||Viernes, 20  de  diciembre  de  2019  - 5:00 |||Balcón de Camaná|42|597|17|https://scontent.flim1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c23.0.685.383a/s320x320/74886471_2562012527246579_4801370431556681728_n.jpg?_nc_cat=111&efg=eyJpIjoiYiJ9&_nc_ohc=OwslTD5jMbAAQnxUX4BcQqek8EmIHFTxAdgVGvcFUs5U1FQzKOnBS4E4Q&_nc_ht=scontent.flim1-2.fna&oh=10c3c08d0431ed9afbb5751f778ead3c&oe=5E89A63D|https://mbasic.facebook.com/events/2473506942914526
¡Tres chelas por navidad! @CasaSola #JesúsMaría|Jirón Huiracocha 2281, 15072 Jesús María, Perú|||||21 de dic., 14:00 || 22 de dic., 2:00|||Tirando Dedo|113|588|18|https://scontent.flim1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c0.2.960.537a/s320x320/78876438_2628936577187574_1129478391989272576_n.jpg?_nc_cat=108&efg=eyJpIjoiYiJ9&_nc_ohc=ZIQARQW66xcAQnsbfn_4RJGq1u4Jt0nNdJXiC7ezkIL-L9c6eNvT48ULQ&_nc_ht=scontent.flim1-2.fna&oh=3125385308c5d0a517cab2b519b9fa01&oe=5E8A4554|https://mbasic.facebook.com/events/662078614614309
Fred Aching & Friends Jam - Viernes 20 de Diciembre|Lima Rock Club|Pasaje Olaya 166, Lima 01 Lima||||Viernes, 20  de  diciembre  de  2019  - 20:00 ||Viernes, 20  de  diciembre  de  2019  - 23:30 |||Fred Aching Drums|15|15|0|https://scontent.flim1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c0.226.1080.604a/s320x320/79092564_2833654026678787_2221625838774779904_o.jpg?_nc_cat=100&efg=eyJpIjoiYiJ9&_nc_ohc=c-cUMFle2t4AQl_l_8JjLRDdCQTD2t32nVVOAHCRrhN2WnkLvAqSdSWuA&_nc_ht=scontent.flim1-1.fna&oh=a120b496740ccc008682f6530a4eb127&oe=5E74C4D5|https://mbasic.facebook.com/events/2410226225755128
