nombre|ubicacion|ubicacion_detalle|ubicacion_referencia|distrito|region|fecha_inicio|fecha_inicio_alt|fecha_fin|descripcion|precio|organizador|asistiran|me_interesa|veces_compartido|imagen|enlace_evento
VOCES DEL AMOR - DICIEMBRE|EL ROSEDAL DE SURCO|||SANTIAGO DE SURCO|LIMA|14/12/2019 22:00:00|||Las mejores voces Yo Soy, reunidos en una noche inolvidable, Sandro- Tony Cam, Jose Jose- Carlos Burga, Dyango-Jairo Tafur Raphael-Alberto Ravines. Orquesta y Coros: La Proxima Banda. Animación a cargo de Koky Salgado.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.14-Voces-del-Amor-DICIEMBRE.gif|https://teleticket.com.pe/evento/V7308
BDM DELUXE|PLAZA ARENA|||SANTIAGO DE SURCO|LIMA|31/12/2020 23:59:00|||||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/comunicado_cancelacion_evento_bdm_delux-6.png|https://teleticket.com.pe/evento/V7200
17 de octubre|PLAZA ARENA|||SANTIAGO DE SURCO|LIMA|31/12/2020 23:59:00||||||||||https://teleticket.com.pe/landing-harry-styles-2019-inf
FEST PERÚ 2020 IDENTIDAD|CLUB LAWN TENNIS|||||24/07/2020 17:00:00 | 25/07/2020 17:00:00||"Fest Perú 2020 ""Identidad"", el festival de la música gospel en el Perú llega en su primera edición y tendrá invitados internacionales como Funky, entre otros; y más de 20 artistas nacionales en el escenario. Una noche única de Unidad, Gozo y Celebración. La cita es este 24 Y 25 de Julio en el Club Lawn Tennis, Av. República de Chile 253 a las 17:00 hrs."||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.08.23FORMATO-FEST-PERÚ-IDENTIDAD-2020-TELETICKET.gif|https://teleticket.com.pe/evento/V7057
THE DRIVER ERA|AUDITORIO SAN AGUSTIN|||SAN ISIDRO|LIMA|21/06/2020 21:00:00|||||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.25-The-Driver-Era-3.gif|https://teleticket.com.pe/evento/V7322
DEAD CAN DANCE-A CELEBRATION-LIFE & WORKS|GRAN TEATRO NACIONAL|||SAN BORJA|LIMA|21/05/2020 21:00:00|||Dead Can Dance se embarcará en una extensa gira por América del Norte y del Sur que comenzará en Filadelfia, Pensilvania, el 17 de abril, presentando espectáculos en Estados Unidos, Canadá, México, Colombia, Perú y terminando en Santiago de Chile el 24 de mayo. En la gira, Brendan Perry, Lisa Gerrard y la banda de apoyo completo regresan a las Américas por primera vez desde Coachella en abril de 2013. Después de su gira europea de 2 tandas agotada en primavera de 2019, que terminó con un espectáculo triunfal enel impresionante Anfiteatro Odeon of Herodes Atticus de, la banda tomará su espectacular set de 3 décadas que incluye música de su álbum de estudio de 2018 Dionysus junto con obras clásicas muy queridas de su extenso catálogo como TheHost Of Serapahim, The Carnival Is Over y Yulunga, a los cines de América. Las entradas para todos los espectáculos saldrán a la venta el viernes 11 de octubre.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.10.10-Dead-can-Dance-2.gif|https://teleticket.com.pe/evento/V7209
LIMA|GRAN TEATRO NACIONAL|||SAN BORJA|LIMA|21/05/2020 21:00:00||||||||||https://teleticket.com.pe/andres-calamaro-la-gira-2020
LAUV|DOMOS ART|||SAN MIGUEL|LIMA|25/03/2020 21:00:00|||||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.09.30-Lauv-4.gif|https://teleticket.com.pe/evento/V7169
AN EVENING WITH PAT METHENY|GRAN TEATRO NACIONAL|||SAN BORJA|LIMA|23/03/2020 20:00:00|||"El célebre guitarrista de jazz/jazz rock llega al Perú en Marzo de 2020. En el selecto listado de artistas con más Grammys en la historia ostenta varias marcas: la mayor cantidad de grammys obtenidos por discos distintos de manera consecutiva además de premios en diez categorías diferentes. El guitarrista y compositor de 64 años totaliza 20 galardones de la Academia (misma cantidad de Bruce Springsteen), casi cincuenta discos y una trayectoria estelar de más de cuatro décadas que no ha cesado en actividad ni vigencia. Una carrera cultivada y tan cotizada como para llegar a colaborar con leyendas como Ornette Coleman, Herbie Hancock o el mismo David Bowie. ""Ver a Metheny es como para un fanático del fútbol ver a Pelé o Maradona"". Este concierto del estadounidense en el Gran Teatro Nacional será en el marco de la gira An evening with Pat Metheny junto a músicos que le siguen los pasos en su virtuosismo. En la batería cuenta con el mexicano Antonio Sánchez, uno de los nombres más excelsos de la escena del jazz mundial. Desde 2002 es parte de la Pat Metheny Group y en 2014 dio el salto al cine junto a su compatriota Alejandro González Iñárritu en la película Birdman, donde dio forma a la música del filme e incluso estuvo nominado a los Globos de Oro. La banda la completan la extraordinaria bajista Linda May Han Oh y el pianista británico Gwilym Simcock, figura estelar en el panorama europeo del jazz. Sobre qué tocará junto a ellos, el guitarrista deja abierta todas las posibilidades. “Realmente podría ser todo o nada. He escrito música nueva que será lanzada a principios del 2020 inspirado en esta gira, pero también me imagino tocando sólo música antigua una noche, o incluso tocar álbumes completos”, comenta en declaraciones previas a la gira."||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.08.15-An-Evening-with-6.gif|https://teleticket.com.pe/evento/V7033
TOKIO HOTEL|DOMOS ART|||SAN MIGUEL|LIMA|17/03/2020 21:00:00|||‘TOKIO HOTEL’ VIENE A LIMA CON LA GIRA ‘MELANCHOLIC PARADISE’||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.12.03-Tokio-Hotel.gif|https://teleticket.com.pe/evento/V7361
KEVIN JOHANSEN - ALGO RITMOS|GRAN TEATRO NACIONAL|||SAN BORJA|LIMA|26/02/2020 20:00:00|||toma nuevamente la ciudad de Lima para lanzar su más reciente álbum Algo Ritmos en el Gran Teatro Nacional. Siempre cool, siempre audaz y original, Johansen no termina de sorprendernos al inventar nuevas canciones que se transforman en nuevas en historias para quien las escucha. Y es que cada concierto de Kevin Johansen es una experiencia única y diferente y es así que hay los que nunca se pierden uno, porque saben que, desde sus butacas, se entregan a un viaje de nueva música panamericana, lúdica y burbujeante, cargada de neo folclore bilingüe y mucho swing.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/Formato-Teleticket-Kevin-Johansen-26.02.19-Final-2.gif|https://teleticket.com.pe/evento/V7299
A CHABUCA - EN VIVO|GRAN TEATRO NACIONAL|||SAN BORJA|LIMA|24/02/2020 20:00:00 | 25/02/2020 20:00:00||“A CHABUCA EN VIVO”||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.25-A-CHABUCA-EN-VIVO.gif|https://teleticket.com.pe/evento/V7332
AMARANTA - CONCIERTO DE ANIVERSARIO|COMPLEJO SANTA ROSA|||||22/02/2020 18:00:00|||Amaranta presenta, Concierto de Aniversario, una noche mágica de música y danza, este Sábado 22 de Febrero del 2020.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.28-AMARANTA-CONCIERTO-DE-ANIVERSARIO-2.gif|https://teleticket.com.pe/evento/V7339
CONCIERTO BARAK|CLUB LAWN TENIS|||JESUS MARIA|LIMA|15/02/2020 19:00:00|||Barak, un ministerio diseñado en el corazón de Dios y puesto en marcha por un grupo de jóvenes emprendedores de República Dominicana.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.12.03-Concierto-BARAK.gif|https://teleticket.com.pe/evento/V7352
FESTIVAL YO AMO LOS 90S CUARTA EDICION|EXPLANADA PARQUE DE LA EXPOSICION|||LIMA|LIMA|15/02/2020 18:00:00|||El festival más grande y esperado del techno (eurodance) YO AMO LOS 90s vuelve al Perú una vez más con un nuevo formato y con una nueva escenografia. El 15 de febrero tendrás la oportunidad de retroceder en el tiempo y disfrutar de un super festival con los grupos del Eurodance más exitosos de la decada de los 90s. Desde Holanda, 2 UNLIMITED ( No Limit, Get Ready For This, Twilight Zone, Tribal Dance, Jump For Joy), Desde Alemania, FUN FACTORY ( Take Your Chance, Close To You, I Wanna B With You, Celebration, Pain), Desde España , KU MINERVA ( Estoy Llorando Por Ti, No Seas Malo, Dejame Soñar, Hoy Sin Ti, Sin mirar Atras), Desde Alemania PHARAO ( Temple of Love, There is Star, I Show You Secrets, World of Magic), Desde Alemania, CAPTAIN HOLLYWOOD PROJECT (More and More, Flying High, Impossible, Only With You, Find Another Way). Una cartelera de lujo que nadie se puedes perder.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.20-Euroconcerts.gif|https://teleticket.com.pe/evento/V7316
13 de Febrero|EXPLANADA PARQUE DE LA EXPOSICION|||LIMA|LIMA|15/02/2020 18:00:00||||||||||https://teleticket.com.pe/alejandro-sanz-2020
PERFECT TOUR - PERU 2020|CENTRO DE CONVENCIONES BOLIVAR|||LIMA|LIMA|8/02/2020 20:00:00|||presenta su gira titulada||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.12.02-PERFECT-TOUR-PERU-2020.gif|https://teleticket.com.pe/evento/V7362
NOCHE DE GALA ANDINA|CENTRO DE CONVENCIONES SCENCIA DE LA MOLINA|||LIMA|LIMA|1/02/2020 19:00:00|||Xolo Entretenimiento y Producciones, presenta el mejor concierto de música Andina con los tres principales artistas del momento en un evento privado con capacidad limitada en el centro de convenciones Scencia de la Molina.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.26-FORMATO-NOCHE-DE-GALA-ANDINA.gif|https://teleticket.com.pe/evento/V7331
DUELO DE TITANES 4 LA BATALLA FINAL|COMPLEJO SANTA ROSA SANTA ANITA|||ATE|LIMA|11/01/2020 19:00:00|||El espectaculo más esperado el gran duelo de titanes la batalla final con antologia raices de jauja Pelo de Ambrosio, String Karma, Max Castro, Joselito Kuyay||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.10.21-FORMATO-DUELO-DE-TITANES-4-LA-BATALLA-FINAL-2.gif|https://teleticket.com.pe/evento/V7233
 JUNTOS CONCIERTO 2019||||||||||||||||https://teleticket.com.pe/juntos-concierto-2019
STRYPER|CENTRO DE CONVENCIONES FESTIVA|||LIMA|LIMA|31/12/2019 23:59:00|||||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/comunicado_cancelacion_stryper.png|https://teleticket.com.pe/evento/V6521
PROFUGOS VIVE LA EXPERIENCIA SODA & CERATI|PLAZA ARENA|||SANTIAGO DE SURCO|LIMA|31/12/2019 23:59:00|||||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/comunicado_cancelacion_profugos.png|https://teleticket.com.pe/evento/V7222
