nombre|ubicacion|ubicacion_detalle|ubicacion_referencia|distrito|region|fecha_inicio|fecha_inicio_alt|fecha_fin|descripcion|precio|organizador|asistiran|me_interesa|veces_compartido|imagen|enlace_evento
 ALEX UBAGO||||||||||||||||https://teleticket.com.pe/alex-ubago
 EL GRAN COMBO 60YEARS||||||||||||||||https://teleticket.com.pe/el-gran-combo-60years
 JUNTOS EN CONCIERTO 2023||||||||||||||||https://teleticket.com.pe/juntos-en-concierto-2023
 EMILIA MERNES 2022||||||||||||||||https://teleticket.com.pe/emilia-mernes-2022
 ONE VISION OF QUEEN MARC MARTEL 2023||||||||||||||||https://teleticket.com.pe/one-vision-of-queen-marc-martel-2023
 ELSAYELMAR2023||||||||||||||||https://teleticket.com.pe/elsayelmar2023
 BLINK182 2023||||||||||||||||https://teleticket.com.pe/blink182-2023
 LAUREN JAUREGUI 2023||||||||||||||||https://teleticket.com.pe/lauren-jauregui-2023
 2ND FESTIVAL SALSA SENSUAL 2022||||||||||||||||https://teleticket.com.pe/2nd-festival-salsa-sensual-2022
 PARAMORE 2023||||||||||||||||https://teleticket.com.pe/paramore-2023
 DEFLEPPARD_AND_MOTLEYCRUE_PAQUETESVIP_2023||||||||||||||||https://teleticket.com.pe/defleppard_and_motleycrue_paquetesvip_2023
 DEFLEPPARD_AND_MOTLEYCRUE_2023||||||||||||||||https://teleticket.com.pe/defleppard_and_motleycrue_2023
 AMARANTA 7MO ANIVERSARIO||||||||||||||||https://teleticket.com.pe/amaranta-7mo-aniversario
 SOLOMUN LIMA 2023||||||||||||||||https://teleticket.com.pe/solomun-lima-2023
 EL MEJOR EVENTO YEAR OSCAR DE LEON ROBERTO BLADES||||||||||||||||https://teleticket.com.pe/el-mejor-evento-year-oscar-de-leon-roberto-blades
 FIESTA BLANCA NACHO 2023||||||||||||||||https://teleticket.com.pe/fiesta-blanca-nacho-2023
 ODISEA NEW YEAR FEST||||||||||||||||https://teleticket.com.pe/odisea-new-year-fest
 PALMERAS FESTIVAL EL GRAN COMBO 60YEARS 2022||||||||||||||||https://teleticket.com.pe/palmeras-festival-el-gran-combo-60years-2022
 LOS TRES GIRA GRANDES EXITOS||||||||||||||||https://teleticket.com.pe/los-tres-gira-grandes-exitos
 RESISTANCE LIMA 2022||||||||||||||||https://teleticket.com.pe/resistance-lima-2022
 LIMAFLOWFEST 2022||||||||||||||||https://teleticket.com.pe/limaflowfest-2022
 AMANTES TOUR 2022 AREQUIPA||||||||||||||||https://teleticket.com.pe/amantes-tour-2022-arequipa
 AMANTES TOUR 2022 LIMA||||||||||||||||https://teleticket.com.pe/amantes-tour-2022-lima
 MORAT AQP22||||||||||||||||https://teleticket.com.pe/morat-aqp22
 VIVE TRUJILLO FESTIVAL VOL1 2022||||||||||||||||https://teleticket.com.pe/vive-trujillo-festival-vol1-2022
 MORAT PER22||||||||||||||||https://teleticket.com.pe/morat-per22
 SOLEDAD2022||||||||||||||||https://teleticket.com.pe/soledad2022
 HARRY STYLES 2020||||||||||||||||https://teleticket.com.pe/harry-styles-2020
 BRUNCH IN THE PARK 2022||||||||||||||||https://teleticket.com.pe/brunch-in-the-park-2022
 KUDAI2022||||||||||||||||https://teleticket.com.pe/kudai2022
 JUAN LUIS GUERRA 2022||||||||||||||||https://teleticket.com.pe/juan-luis-guerra-2022
 BADBUNNY2022||||||||||||||||https://teleticket.com.pe/badbunny2022
 INDIA Y BRUNELLA 2022||||||||||||||||https://teleticket.com.pe/india-y-brunella-2022
 JHAY CORTEZ ENLIMA2022||||||||||||||||https://teleticket.com.pe/jhay-cortez-enlima2022
 SILVESTRE DANGOND 2022 TOUR||||||||||||||||https://teleticket.com.pe/silvestre-dangond-2022-tour
 FUTBOL ROCK Y SALSA VOL1||||||||||||||||https://teleticket.com.pe/futbol-rock-y-salsa-vol1
 9 ANIVERSARIO ALAIN ALMEDIDA 2022||||||||||||||||https://teleticket.com.pe/9-aniversario-alain-almedida-2022
 MANUEL MEDRANO 2022||||||||||||||||https://teleticket.com.pe/manuel-medrano-2022
 MIGUEL MATEOS 2022||||||||||||||||https://teleticket.com.pe/miguel-mateos-2022
 VIBRA PERU 3 2022||||||||||||||||https://teleticket.com.pe/vibra-peru-3-2022
